name,url,ava,county,decade,sub_appellation,current_owner,planted_by,wineries,historical_producers,raw_text,soil_types,varieties_json,ttb_variety
Henderlong Nalle Vineyard,https://historicvineyardsociety.org/vineyard/henderlong-nalle-vineyard,Dry Creek Valley,Sonoma,1920s,,Doug and Lee Henderlong Nalle,Fred and Ruby Henderlong,,"Nalle, Seghesio","Dusty, briary, raspberry, strawberry, guava, violet with a healthy mid-palate tannin. Located just two miles from Healdsburg in the historic Dry Creek Valley of Sonoma County, Nalle Winery sits on land the family has owned since 1917. Adjacent to the winery is the old vine Zinfandel block planted in 1927 during Prohibition by Andrew’s great-great-grandparents, Fred and Ruby Henderlong. Occupying roughly 1.5 acres of prime bench land, the old vines are dry farmed and head trained, yielding intense fruit flavors, balanced acidity, and structured tannins. Soils here are well-drained, gravelly clay and loam which help to impart layered notes of raspberry, strawberry, violet, and guava. Like stepping back in time, elegant, old fashioned Zin flavors reflect the rich history of land that has been cultivated for winemaking for over 90 years. Andrew Henderlong Nalle has made a vineyard designate since 2006.          ",Clay; Loam; Gravel; Benchland,"{""Zinfandel"": null}",
HMR (Hoffman Mountain Ranch),https://historicvineyardsociety.org/vineyard/hoffman-mountain-ranch,Paso Robles,,1960s,Adelaida District,Van Steenwyk family,John Whitener,Adelaida Vineyards & Winery,"HMR Winery 1972.
Adelaida","Hoffman Mountain Ranch (HMR) is a celebrated vineyard in the hills of Paso Robles’ Adelaida District. The vineyard is planted on limestone (>50% calcium carbonate) and clay at 1400-1700′, 14 miles from the Pacific Ocean. Planted in 1964 with Pinot Noir and “Gamay” (UCD characterized it as Pinot Noir in 2016). Cabernet Sauvignon was planted on a parcel here in 1973 but that piece has since been removed. Pinot Noir totals 34 acres, with 23 of those acres original and producing 1.5 tons per acre. The remaining 11 acres were taken as cuttings from the original. HMR Ranch totals about 400 acres, with about 100 planted to vines. Andre Tchelistcheff was consulting winemaker on this vineyard beginning in 1973. The soil pH of 8.1-8.3 results in wines with a low pH, as the limestone restricts the ability of the roots to suck up potassium. This warm region vineyard produces Pinot Noir, as well as Chardonnay and a dozen Rhone varietals, with notably high acidity and other attributes associated with cool climate wines. Unknown rootstock and clone for the Pinot Noir. Pinot Noir and the white varietals are planted East-West while the Rhone varietals are planted North-South. The majority of the plantings are on VSP. There are also 20+ acres of head-trained and dry farmed Zinfandel. Slopes of about 25%.          ",Clay; Limestone; Benchland,"{""Pinot Noir"": null, ""Gamay"": null, ""Cabernet Sauvignon"": null, ""Chardonnay"": null, ""Zinfandel"": null}",
Hofer Ranch,https://historicvineyardsociety.org/vineyard/hofer-ranch,Cucamonga Valley,San Bernardino,1910s,,Hofer Family,,"Galleano Winery
A Tribute to Grace Wine Co.
LePoidevin Cellars
Scar of the Sea Wines","Cucamonga Vintage Company 1920 – 1927
Cucamonga Pioneer Vineyard Association 1934 – 1970
Galleano Winery 1960 – Current","The Hofer Ranch is located in the Cucamonga Valley in San Bernardino County within the city boundary of Ontario California and adjacent to the Ontario International Airport. The address is 11248 S. Turner Avenue, Ontario CA 91761. Sanford Ballou purchased the ranch in 1882. By 1915, the ranch had expanded to 960 acres including apricot and peach orchards, wine grapes, and raisins. By 1930, the ranch was primarily planted to vineyard. The entire vineyard was planted and is maintained today on its own roots. All vines are head-trained and organically grown and they are currently being farmed by Paul Hofer III. Paul Ballou Hofer helped create the Cucamonga Vineyard Association in 1934 as Cucamonga Valley’s first wine-producing and marketing cooperative controlled by local growers. The Hofer Ranch was added as a Historic District to the National Register of Historic Places in 1993. The 15 acres of old vines at Hofer Ranch include Grenache, Mission, Pedro Ximenez, and Rose of Peru.          ",,"{""Grenache"": null}",
Hooper Vineyard,https://historicvineyardsociety.org/vineyard/hooper-vineyard,Santa Cruz Mountains,San Mateo,1890s,Woodside,Ray Christensen,Hooper Family,"Joel Burt, yet to be named label",Woodside Vineyards,We shall see. The vineyard has been neglected and overrun with deer for a while and I am working to bring it back into production. Ray Christensen owns a parcel that includes about 2 acres of the original Hooper Vineyard. Don Mattrick owns an adjacent parcel of about an acre with more original vines. Ray’s section is about 60% old vine Cabernet Sauvignon and 40% old vine Zinfandel. Mattrick’s vineyard is entirely Zinfandel. Soils are the Francisquito  series.          ,,"{""Cabernet Sauvignon"": null, ""Zinfandel"": null}",
Hunter Vineyard,https://historicvineyardsociety.org/vineyard/hunter-vineyard,Temecula Valley,,1900s,Oceanside,Hunter/Tabazon Family,,,Hart Winery,"Like the Cazas Vineyard, the Mission grapes in the vineyard are reputed to have come from cuttings from the mission annex at Pala, which was part of Mission San Luis Rey in Oceanside.          ",,{},
Ibarra-Young,https://historicvineyardsociety.org/vineyard/ibarra-young,Central Coast,Los Olivos,1970s,,,,Âmevive,,"Ibarra-Young Vineyard was planted by Charlotte Young in 1971 and is still owned by her three daughters. Charlotte’s right-hand man, Miguel Ibarra, joined her in stewarding the land shortly after planting and continued to work on the vineyard for more than 35 years. Today, we celebrate this duo by designating these 10 acres as the Ibarra-Young Vineyard. Ibarra-Young Vineyard was one of the first vineyards planted in the Santa Ynez Valley and has so much soul you can feel it. The first 3 acres were planted in 1971 and 3 more acres were planted in 1973. In the late 90’s, Bob Lindquist completed Ibarra-Young’s current planted acreage with what we fondly deem as the “young vines.” The vineyard is planted to Syrah and Mourvèdre planted in 1971, Marsanne planted in 1973, as well as suitcase clone Tempranillo and Graciano planted in the late 90’s. Everything on the property is own-rooted and has been farmed organically since 1993. We began leasing and farming this land at the end of 2019 and have since employed holistic, regenerative organic, and biodynamic practices to reinvigorate the soils that have been working hard for over half a century. ​Our goal is to rebuild an ecosystem of native species that live alongside our vine rows, regenerate soil health, and grow the highest quality grapes this site can give. We believe the best wine grapes are grown with minimal inputs and conscious vineyard management. We reject a systematic schedule for viticulture and farming in general. We believe that by working in conjunction with nature we can increase biodiversity and soil health, minimize unnecessary sprays, minimize tractor passes and compaction, decrease water use, and reduce our carbon footprint. Join us on this journey of unconventional viticulture. We aspire to prove that through dedication and hard work, remarkable wines can be made with minimal intervention in a vineyard that flourishes alongside a healthy living ecosystem.          ",,"{""Syrah"": null, ""Mourvèdre"": null, ""Marsanne"": null, ""Tempranillo"": null, ""Graciano"": null}",
Jackass Hill,https://historicvineyardsociety.org/vineyard/jackass-hill,Russian River Valley,Sonoma,1880s,,"Lee Martinelli, Sr.",Giuseppe Martinelli,Martinelli Winery,Martinelli Winery 1880s – present,"Jackass Hill Zinfandel bursts forth with blackberry, cherry-cola, cocoa and spicy candied licorice flavors and aromas of herbs and lavender. The Jackass Hill Muscat of Alexandria coats the mouth with rich honeysuckle, mango, lychee, passion fruit, vanilla and sweet spices. The vineyard is dry-farmed on a non-terraced, 60-65 degree hillside – it is illegal to plant a vineyard this steep today. It was the only vineyard planted by Giuseppe Martinelli in the late 1880s. Giuseppe’s youngest son Leno farmed Jackass Hill from age 12 behind horse & plow until he was 87 years old and on a tractor. Leno’s son, Lee Sr., at 75 still farms it today. The Martinelli family has been making wine from this vineyard since the beginning.          ",Benchland,"{""Zinfandel"": null, ""Muscat Of Alexandria"": null}",
Jackass Vineyard,https://historicvineyardsociety.org/vineyard/jackass-vineyard,Russian River Valley,Sonoma,1880s,,"Lee Martinelli, Sr.",,Martinelli Winery,Martinelli Winery 1880s – present; Williams Selyem early mid-1980s – 1992,"On Martinelli Road in Forestville. It’s a rolling vineyard just southwest of Jackass Hill. Martinelli Winery 1880s – present; Williams Selyem early mid-1980s – 1992 Aromas of blueberry and black cherry, with hints of tropical fruit and cocoa. The wine is firm and well balanced with a long finish including flavors of blackberry jam, nectarines, and Italian plums. This vineyard was purchased by Giuseppe Martinelli in the 1880s. These vines are head pruned, non-trellised and dry farmed.          ",,{},
Jackse,https://historicvineyardsociety.org/vineyard/jackse,Napa Valley,Napa,1930s,,Napa Valley Vintners Association,Napa Valley Vintners Association,The Napa Valley Vintners Association,The Jackse Family,"Good fruitiness, not much acid. Low alcohol for the 2009 and 2011 vintages. Excellent source for a port-like wine in 2014. The farm where our vineyard is located was in the Jackse family for decades, going back to pre-Prohibition. Mr. Jackse was even arrested for selling wine from this farm during Prohibition. The vineyard is presently the home to our newly remodeled offices. Our building was once the Jackse barn and their farmhouse still stands next door. Although we don’t know the actual planting date of these vines, Tegan Passalacqua of Turley agrees that they are at least 50 years old. We have begun making wine from only these grapes as part of a staff project. We do the whole process, from pruning the vines, to harvesting the grapes, to fermenting in the basement of the farmhouse, to bottling the wine.          ",,{},
Jimsomare,https://historicvineyardsociety.org/vineyard/jimsomare,Santa Cruz Mountains,Santa Clara,1900s,,Schwabacher Family,Pierre Klein,Mira Valle,Ridge,"Pepper, spice, wild berry on the nose, lively acidity, ages very well This property was purchased in 1888 by Pierre Klein, an Alsatian who owned the Occidental Restaurant in San Francisco. Klein was also an ardent advocate for good California wine at a time when most California wines were mediocre and labeled as phony French wine in order to sell. His Mira Valle Cabernets won medals at expositions in Bordeaux, Brussels, Paris, and Atlanta. Combined with the success of his neighbor Oseo Perrone’s Monte Bello winery and Emmett Rixford in nearby Woodside, Klein’s efforts gave wines from the Santa Cruz Mountains a reputation that stands to this day. The Schwabacher family purchased the property and helped to resurrect the Zinfandel vines with help from Ridge. Ridge has made wine from these vines every year since 1964. This Zinfandel selection is preserved as a Heritage Zinfandel Clone.          ",,"{""Zinfandel"": null}",
Joaquin José Vineyard,https://historicvineyardsociety.org/vineyard/joaquin-jose-vineyard,Contra Costa,Contra Costa,1890s,,State of California,Joaquin José,"Cline Cellars, Trinitas Cellars, Three Wine Company",,          ,,{},
Justi Creek Vineyards Heritage Block (Mancuso),https://historicvineyardsociety.org/vineyard/justi-creek-vineyards-heritage-block,Sonoma Valley,Sonoma,1910s,,Lasseter Family,,Lasseter,,"Justi Creek Vineyards, part of a stunning 95-acre ranch on the outskirts of Glen Ellen, is comprised of three adjacent parcels of land, formerly parts of Rancho Vallejo and Rancho Los Guilicos. Flourishing under the watchful eye of vineyard manager Phil Coturri, the certified organic vineyards express the unique terroir of this historical site. The Heritage Blocks, ten acres just west of the winery, are the warmest location on the estate. A century-old Zinfandel block gives its name to these vines, which are comprised of a classic field blend that includes eight other varietals.          ",,"{""Zinfandel"": null}",
Katushas’ Vineyard,https://historicvineyardsociety.org/vineyard/katushas-vineyard,Lodi,,1910s,Mokelumne River,Bedrock Wine Co.,,Bedrock Wine Co.,,"The vineyard is located on the oxbow of the Mokelumne River just north of the town of Victor. Katushas’ is own-rooted in Tokay Fine Sandy Loams. Farming is done with an eye towards greatest sustainability. Cover crops and insectary flowers are grown to attract beneficial insects, predatory insects are released to deal with vineyard pests, and minimal tillage is practiced.          ",Sandy Loam; Loam; Sand,{},
Katz Vineyard,https://historicvineyardsociety.org/vineyard/katz-vineyard,Dry Creek Valley,Sonoma,1900s,,David & Cecilia Katz,Unknown,"An exclusive to Quivira Vineyards, who lease and farm the site to CCOF-certified standards, including annual certification.",,"Located directly adjacent to Lytton West (you actually have to pass through the same gate), immediately Southeast. An exclusive to Quivira Vineyards, who lease and farm the site to CCOF-certified standards, including annual certification. A true pre-prohibition Zinfandel vineyard, Katz Vineyard was planted in 1900 and is Quivira’s smallest production wine.  Planted as a “Mixed Black” vineyard, with Zinfandel as the primary variety (>90%) it also includes Petite Sirah, Carignane, Alicante Bouschet, and even some white varieties.  There are also varieties we can’t yet identify.  The sandy, gravelly loam soil yields grapes, and wine, with exceptional natural acidity, even when picked fully ripe.  This tiny vineyard in the Lytton Springs area consistently produces a wine that embodies the essence of Dry Creek Valley with a mix of both red and dark fruits, baking spice, and subtle earthiness.          ",Loam; Sand; Gravel,"{""Zinfandel"": null, ""Petite Sirah"": null, ""Alicante Bouschet"": null}",
Kirschenmann Vineyard,https://historicvineyardsociety.org/vineyard/kirschenmann-vineyard,Lodi,San Joaquin,1910s,Mokelumne River,Tegan Passalacqua,Kirschenmann Family,"Turley, Sandlands, Pecedent, Bedrock, Arnot-Roberts","Carlisle, Scholium Project","Vineyard is located in the oxbow of the Mokelume River just north of the town of Victor. 15 acres of Zinfandel planted in 1915, interplanted with Monduese, Carignane and Cinsault. The vineyard is a total of 20 acres.          ",,"{""Zinfandel"": null, ""Cinsaut"": null}",
Kronos Vineyard,https://historicvineyardsociety.org/vineyard/kronos-vineyard,St. Helena,Napa County,1970s,,Cathy Corison,,,,"Kronos was one of the Titans in Greek mythology, the sons of heaven and earth. That is right where wine sits for Cathy, between earth and sky. Located by William Martin and purchased in 1995, Kronos Vineyard is one of the last old Cabernet vineyards in the Napa Valley. Planted in 1971 on St. George rootstock, which is completely resistant to Phylloxera , the gnarly, wise old ladies are over 50 years old! Yields are pitifully low at 1.25 tons/acre, but the singular wine it produces proves it to be one of the great Cabernet vineyards of the world. Cathy considers it a gift to have the opportunity to work with these old vines because they yield concentrated, complex, inky, structured, aromatic wines at very moderate alcohols. Farmed sustainably from the beginning, these deep-rooted veterans sail through any weather.          ",,{},
Kuchan Estate Lepi Bregi Vineyard,https://historicvineyardsociety.org/vineyard/kuchan-estate-lepi-bregi-vineyard,Santa Clara Valley,Santa Clara,1920s,,Kuchan Family Estates,The Marchetti Family in 1925,Kuchan Cellars,"Storrs, David Bruce, Kuchan Cellars","The vineyard is in the San Francisco Bay region, part of the Pacific Coastal Range and dominated by the Santa Cruz Mountains to the northwest and the Diablo Range to the east. Lepi Bregi Vineyard lies on the east flank of the Santa Cruz Mountains on a thin layer of Holocene alluvial and marine deposits. The soil is reddish-brown Gravelly Sandy Clay with deeper deposits of Brown Sandstone at 15 feet. Ancient river bed and marine deposits show various sizes of river rocks and ancient shell deposits. The field blend yields full-bodied, rich-colored wines with aromas of red cherries, raspberries, and blue plums with Zinfandel’s spicy sweet earthy tannins. Full cluster, carbonic fermentation with native yeasts provide longer maceration and full skin color and tannin extraction by separating the free run and applying gentle pressings, while avoiding the over-extraction of tannins. Aging in French oak for 18+ months with minimal racking render a full-bodied, fragrant Zinfandel with the ability to age for an additional 10-15 years. The original 17-acre vineyard was planted in 1925 by the Marchetti family. Head trained old vine Zinfandel with mixed plots of old vine Grenache, Carignane and Grand Noir de la Calmette (a teinturier grape that is the crossing of Petit Bouschet and Aramon Noir) planted on St. George. Vineyard plots are situated on rolling hills on the edge of the ancient river bed and were dry farmed for several decades with roots reaching 40-50 feet deep. Clay loom soil with ancient marine layers, river deposits and large river rocks provide ample drainage and rich minerality. The vines are exposed to consistent light afternoon winds, which dry the vineyard, minimize diseases, and reduce the need for spraying. The fog bank rolling in from the Pacific coast through Hecker Pass cools the grapes overnight. The temperatures here can range +-40 degrees between morning and afternoon, allowing for longer hang time and rich flavor development. Davorin Kuchan was raised ",Clay; Sand; Gravel; Rocky; Alluvial; Sandstone,"{""Zinfandel"": null, ""Grenache"": null}",
Library,https://historicvineyardsociety.org/vineyard/library,Napa Valley,Napa,1880s,,,,Turley,,"The Library Vineyard is one of the most unique vineyards in California. Planted between 1880 and 1920 directly behind the St. Helena Public Library, the vineyard is very varietally diverse. Primarily Petite Syrah vines mixed with a myriad of others, including; Peloursin, Cinsault, Syrah, Mission, Alicante Bouschet, Grand Noir, Carignan, Grenache and Zinfandel. There are also a number of white grapes such as Muscat Alexandria, Muscadelle, Burger and Green Hungarian. We pick them all together to make a wine truly expressive of the vineyard. Source: Turley Wine Cellars          ",,"{""Petite Sirah"": null, ""Peloursin"": null, ""Cinsaut"": null, ""Syrah"": null, ""Alicante Bouschet"": null, ""Carignan"": null, ""Grenache"": null, ""Zinfandel"": null, ""Burger"": null}",
Limerick Lane Vineyard,https://historicvineyardsociety.org/vineyard/limerick-lane-vineyard,Russian River Valley,Sonoma,1910s,,Limerick Lane Cellars,Mario Del Fava,"Limerick Lane Cellars, Carlisle Winery, Bedrock Wine Co.","Limerick Lane, Gary Farrell, Ravenswood, Davis Bynum, DeLoach","Limerick Lane, Gary Farrell, Ravenswood, Davis Bynum, DeLoach Always very aromatic with lavender notes both on the palate and nose. Generally more delicate of a wine as opposed to one defined by “size.” For over a century, the vineyard has only been owned by three families. It has been vineyard-designated either by Limerick Lane Cellars or others since the early 80s.          ",,{},
Lizzy James,https://historicvineyardsociety.org/vineyard/lizzy-james,Lodi,San Joaquin,1900s,,,,,Harney Lane,"Lizzy James vineyard was first planted in 1904 as Black Prince but was soon after grafted over to Zinfandel.  It was originally owned by the Lind family but had changed hands a few times before the Lerner family attained it in 2003. From the Lerner Family: “This was actually before we were making wine and the vineyard had been being farmed for White Zinfandel.  We saw the potential…my dad remembered that at one time the vineyard had produced some great fruit and great wine. So we began to rehab the vineyard and started by making a bit of homemade wine to see what the vineyard was capable of.  In 2006, we began making wine commercially and Lizzy James Old Vine Zinfandel quickly became a customer favorite as well as one of our most award-winning wines.”          ",,"{""Zinfandel"": null}",
LJ Zin,https://historicvineyardsociety.org/vineyard/lj-zin,Lodi,San Joaquin,1960s,Mokelumne River,Todd Maley,Joe and Lou Maley,"Michael David, Macchia, Maley Bros.","David Akins (early 2000s; received an LA County Fair Best of Show award), Woodbridge Vineyard Association (earlier), Ravenswood (1999-2009)","David Akins (early 2000s; received an LA County Fair Best of Show award), Woodbridge Vineyard Association (earlier), Ravenswood (1999-2009) Luscious floral jammy notes, boysenberry, raspberry, earthiness. Joe and Lou Maley planted St. George rootstock and then grafted on Zinfandel from the west-side of Lodi in 1969. Tokay sandy loam soil. Head-trained vines planted to 9′ x 9′ spacing yield approximately 1-3 tons/acre. Previous uses of the farmland were for tomatoes, Carignan, and Burger. Enrolled in LODI RULES sustainable winegrowing certification program for the 2023 vintage. The Maley family has been farming since 1864.          ",Sandy Loam; Loam; Sand,"{""Zinfandel"": null, ""Carignan"": null, ""Burger"": null}",
"Lolonis Family Vineyards & Winery, Inc.",https://historicvineyardsociety.org/vineyard/lolonis-family-vineyards-winery-inc,Mendocino,Mendocino,1940s,Redwood Valley - District 1,Athan and Denise Poulos,Frank (Tryfon) & Eugenia Lolonis,"LIOCO, Hobo, Frey, Bonterra, Saracina",,          ,,{},
Lopez,https://historicvineyardsociety.org/vineyard/lopez,Cucamonga Valley,San Bernardino,1910s,,Don Galleano (lease),Jose Lopez,"Carol Shelton, Galleano","Carol Shelton 2000-current, Geyser Peak 2000-2001","Dusty cranberry-pomegranate fruit and Middle Eastern spices like coriander, cardamom, cumin, fennel, Chinese 5-spice. Very intense and concentrated due to extremely low crop yield. Planted in 1918, used for packing grapes to home winemakers back east during Prohibition. All dry-farmed and organically certified, vines are “pygmy” bush vines (2 ft tall) with roots going down 30-50 feet to get water. Average yield of 1/3 – 1/2 ton per acre.          ",,{},
Lyon Vineyard – Blocks 2 and 3,https://historicvineyardsociety.org/vineyard/lyon-vineyard-blocks-2-and-3,Alexander Valley,Sonoma,1970s,,Eco Terreno Wines & Vineyards,Rodney Strong,Eco Terreno and Kivelstadt Cellars currently produce an Old Vine Sauvignon Blanc from Block 3; Eco Terreno also releases an Old Vine Cabernet Sauvignon and Old Vine Rosé from Block 2.,"Chateau St. Jean, Sebastiani","Located east of Cloverdale between River Road and the Russian River and along the eastern edge of Alexander Valley. Eco Terreno and Kivelstadt Cellars currently produce an Old Vine Sauvignon Blanc from Block 3; Eco Terreno also releases an Old Vine Cabernet Sauvignon and Old Vine Rosé from Block 2. As the vines have aged, the wines made from the Cabernet have changed from a “black-fruit” style to more of a “red-fruit” expression with lower alcohol and “dusty earth” aromatics. The Sauvignon Blanc has moved towards greater concentration and intensity as yields have decreased with age. The site that is known today as Lyon Vineyard was originally planted by Rodney Strong in 1973 because of its alluvial soils and favorable climate for the ripening of Cabernet Sauvignon. 66 acres of prunes were replaced by Cabernet as part of the early pioneering efforts to experiment with that varietal in Alexander Valley. After the vineyard’s purchase by the Lyon family in 1980, 14 acres of Sauvignon Blanc were top-worked onto existing Cabernet vines in response to the changing public taste for dry white wines. Today, 6 original acres of Cabernet and 8 acres of Sauvignon Blanc remain. Both surviving blocks were fortuitously planted on St. George rootstock and were thus spared from the second wave of phylloxera that began in the 1980s while the rest of the vineyard had to be re-planted. Cabernet Sauvignon from the old vines in Block 2 were key components of high-scoring wines from Chateau St. Jean and Sebastiani in the 1990s. These wines helped put Sonoma County Cabernet Sauvignon back on the map and on the front covers of popular wine industry publications of the time. Both blocks are trained as high “Divided Canopy” quadrilateral cordons and were planted to an orchard-like 8’ x 12’ vine spacing to accommodate the tractors and heavy vineyard equipment of the time. The entirety of Lyon Vineyard is certified Biodynamic and Organic and is farmed with sustainability and regeneration in mind",Alluvial,"{""Sauvignon Blanc"": null, ""Cabernet Sauvignon"": null}",
Lytton Estate,https://historicvineyardsociety.org/vineyard/lytton-estate,Dry Creek Valley,Sonoma,1900s,,Ridge Vineyards,William Litton,"Simi, Lytton",Ridge,"Blackberry, plum, pepper & chaparral notes on nose; blackberry, vanilla, mineral on palate, with long, dense finish. This vineyard used to be part of the estate of Captain William Litton, who during the last half of the 19th century developed the springs in the area and built a hotel and spa for San Franciscans who arrived by train to “take the waters.” Paul Draper saw these old vines in 1972 and made the first Lytton Springs bottling that year. In 1991, the 20th anniversary of making Lytton Springs, Ridge was able to purchase the Lytton Springs Winery and the old vines surrounding it; in 1995 Ridge added Lytton Estate West, reuniting the vineyards that once belonged to Captain Litton. This zinfandel selection is preserved as a Heritage Zinfandel Clone.          ",,"{""Zinfandel"": null}",
MacDonald/Horton,https://historicvineyardsociety.org/vineyard/macdonaldhorton,Napa Valley,Napa,1950s,Oakville,Horton Family Trust,First planted by H. W. Crabb in 1873. The current 1950s vines were planted by our family.,MACDONALD,"H.W. Crabb/To-Kalon 1870s-90s, Charles Krug 1950s-60s, early Opus One, Robert Mondavi 1966-present","Located west of the town of Oakville at the base of the Mayacamas Mountains. Part of the historic To-Kalon Vineyard. H.W. Crabb/To-Kalon 1870s-90s, Charles Krug 1950s-60s, early Opus One, Robert Mondavi 1966-present This block consists of the first vines planted since Prohibition on the property. The Cabernet Sauvignon budwood was sourced from original To-Kalon material. Organic and dry farmed.          ",,"{""Cabernet Sauvignon"": null}",
Maffei Vineyard,https://historicvineyardsociety.org/vineyard/maffei-vineyard,Russian River Valley,Sonoma,1920s,Russian River,Joanne Maffei/Arlene Padilla,Umberto and Maria Maffei,"Hartford, Seghesio, Gary Farrell, Sunce",,"Blocks 1, 5 and 6 currently go to Hartford Winery. Blocks 3, 4 and 9 go to Seghesio. Block 10 goes to Gary Farrell Winery. Block 1 goes to Sunce Winery.          ",,{},
Mancini,https://historicvineyardsociety.org/vineyard/mancini,Russian River Valley,Sonoma,1920s,,Randy and Chantal Reichwage,Lucca Mancini,"Reichwage Winery, Ridge Vineyards, Carlisle Winery & Vineyards",Joseph Swan Vineyards,"Reichwage Winery, Ridge Vineyards, Carlisle Winery & Vineyards The Mancini Ranch was planted in 1922 by Luca “Bronzo” Mancini on the eastern side of the Laguna de Santa Rosa. The 16-acre vineyard is head-trained, dry-farmed, and consists of mostly Zinfandel vines, although it is interplanted with an unusual mix of at least 20 different varieties. There are also two distinct sections of the vineyard: the North-West corner consists of mostly Carignan, while the South-East corner is comprised of mostly white varieties, including Muscadelle, Palomino, French Colombard, and others.          ",,"{""Zinfandel"": null, ""Carignan"": null, ""Palomino"": null, ""Colombard"": null}",
Maple,https://historicvineyardsociety.org/vineyard/maple,Dry Creek Valley,Sonoma,1910s,,"Tina and Tom Maple, since 1988",Fred Lencioni,Armida and Dutcher Crossing Winery,"Lencioni (until Prohibition), Pedroncelli (pre-1988), Ridge (1991-1999), Gary Farrell Winery (1999)","Lencioni (until Prohibition), Pedroncelli (pre-1988), Ridge (1991-1999), Gary Farrell Winery (1999) All vines head-trained and spur-pruned. Newer plantings tailored to same style: head-trained, 8′ x 8′ spacing, dry-farmed, St. George or 110R rootstocks field-budded with own scion wood, vineyard blend including other compatible varietals. Family tends to vineyard. Client wineries are screened, particularly regarding “brett.”          ",,{},
Marian’s (Mohr-Fry),https://historicvineyardsociety.org/vineyard/marians,Lodi,San Joaquin,1900s,Mokelumne River,"Mohr Enterprises, LTD., L.P.",J. J. Mettler in 1901,"St. Amant, Chouinard Vineyards","St. Amant, Chouinard, Kenwood, Bogle","Own-rooted Planted in 1901 Subsurface drip irrigation Lodi Rules Certified In the 2003 California State Fair, the “St. Amant 2001 Marian’s” wine received Best Zinfandel in the State of California.          ",,"{""Zinfandel"": null}",
Martinelli Road (Banfield),https://historicvineyardsociety.org/vineyard/martinelli-road,Russian River Valley,Sonoma,1880s,,,Banfield Family,Martinelli,"Carlisle, Woodenhead, Arista","This Russian River Valley site has been continuously farmed since the 1870s when it was first planted by the Banfield family. The Butler family purchased the property from the Banfields in the 1880s and replaced the vines that had succumbed to Phylloxera. The Butlers sold the property to Giuseppe Martinelli in 1903. The soil is Yolo Loam. Approximately 1/3 of the vineyard is planted on a steeply sloped knoll while the remaining 2/3  is planted on the flat plain. The vines are head trained with no trellis system and are dry farmed. The cover crop is native grass and no chemicals, pesticides or herbicides are used in the farming. Other names: Banfield Vineyard, Martinelli & Duckhorn Vineyard, Martinelli Road Vineyard, Rancho Burro          ",Loam; Benchland,{},
Massa Estate (formerly Durney Vineyards),https://historicvineyardsociety.org/vineyard/massa-estate-formerly-durney-vineyards,Carmel Valley,Monterey,1970s,Cachagua,Bill and Laurie Massa,Bill Durney,"Massa Estate, La Marea (Ian Brand), Riley Hubbard, Ryme Cellars, Jamie Motley, Desire Lines, Bedrock Wine Co.",,"The vineyard is located on just under 1000 acres that is next to BLM land. The vineyard itself is 92 acres. The address is 18820 Cachagua Rd., Carmel Valley, California. Massa Estate, La Marea (Ian Brand), Riley Hubbard, Ryme Cellars, Jamie Motley, Desire Lines, Bedrock Wine Co. Massa Estate – formerly Durney Vineyard – was the first vineyard planted in Carmel Valley. Mr. Durney was instrumental in getting the Carmel Valley Appellation established. The original plantings are of Cabernet Sauvignon. Durney Vineyards Cabernet Sauvignon was served in the White House during the Reagan Administration. Documentation indicates that the vineyard was planted in 1969 by Bill Durney. It is on its own rootstock. The story goes that Mr. Durney bought the vines from Mirasou, who brought them in from France. They are on a piece of property that is 1200-1400 feet in elevation. It has a lot of underground springs.          ",Rocky,"{""Cabernet Sauvignon"": null}",
Mazzoni-Live Oak Vineyard,https://historicvineyardsociety.org/vineyard/live-oak,Contra Costa,Contra Costa,1880s,,"Mazzoni Vineyard, LLC",,Most likely Sebastiani Winery or the grapes were sold to home winemakers located anywhere in the USA and Canada.,"Cline Cellars, Inc from 1984 to 1994
Trinitas Cellars, LLC from 2002 to 2006
Three Wine Company from 2007 to present","Most likely Sebastiani Winery or the grapes were sold to home winemakers located anywhere in the USA and Canada. Cline Cellars, Inc from 1984 to 1994 Trinitas Cellars, LLC from 2002 to 2006 Three Wine Company from 2007 to present The wine is dark black and blue to the edge, with raspberry, boysenberry, violets, supple tannins and perfect acidity. The wine shows staggering ancient vine concentration with a briary density and silky, velour-like mouthfeel which is classic Mazzoni-Live Oak. Planted right around 1885 by an Italian immigrant family named Mazzoni. Two second generation brothers, Spike and Guido Mazzoni, farmed the vineyard into the early 1980s and ran an automobile repair shop on the property as well. After being purchased by a company with plans to build a co-generation plant the new owners leased the property to local farmers. The property was bought by Mazzoni Vineyards, LLC in May of 2015. The old block (about 2.5 acres) is a classic field blend consisting mainly of Zinfandel but with rogue vines of Mataro and Carignane blended in. A few vines of Muscat Alexandria and one vine of Rose of Peru also are in the mix. The balance of the vineyard (5.5 acres) was planted to Petite Sirah in 1998. Two-thirds of the original vines were planted on their own roots and are still in production today. The Delhi Sandy Loam is over 30′ deep over most of this property.          ",Sandy Loam; Loam; Sand,"{""Zinfandel"": null, ""Petite Sirah"": null}",
